CUI	AUI	ATUI	SATUI	SAB	DEF	SUPPRESS	CVF	cui2								
C0020541	A24675250	AT206293662	NULL	HPO	Increased pressure in the portal vein. [HPO:probinson]	N	NULL	C0020541								
C0020541	A7577077	AT210375656	NULL	NCI_NICHD	Increased blood pressure in the portal venous system which manifests as ascites, splenomegaly and/or varices.	N	NULL	C0020541								
C0020541	A0070990	AT43116103	NULL	MSH	Abnormal increase of resistance to blood flow within the hepatic PORTAL SYSTEM, frequently seen in LIVER CIRRHOSIS and conditions with obstruction of the PORTAL VEIN.	N	NULL	C0020541								
C0020541	A0487038	AT51221327	NULL	CSP	abnormally increased pressure in the portal venous system, frequently seen in cirrhosis of the liver and other conditions causing obstruction of the portal vein.	N	NULL	C0020541								
C0518829	A24363506	AT205729140	NULL	NCI	A term used to describe the state or condition of the completeness of the vital signs data.	N	NULL	C0518829								
C0848548	A7600057	AT205727133	NULL	NCI	Kidney damage that results from chronically elevated blood pressure; complications include glomerular damage resulting in proteinuria and hematuria.	N	NULL	C0848548								
C0020545	A17692211	AT197974098	NULL	NCI	High blood pressure secondary to renal artery stenosis.	N	NULL	C0020545								
C0020545	A24668015	AT206290657	NULL	HPO	The presence of hypertension related to stenosis of the renal artery. [HPO:probinson]	N	NULL	C0020545								
C0020545	A0070994	AT43117112	NULL	MSH	Hypertension due to RENAL ARTERY OBSTRUCTION or compression.	N	NULL	C0020545								
C1145628	A21143306	AT220104290	NULL	MEDLINEPLUS	<p>Your autonomic nervous system is the part of your nervous system that controls involuntary actions, such as the beating of your heart and the widening or narrowing of your blood vessels. When something goes wrong in this system, it can cause serious problems, including</p> <ul> <li> Blood pressure problems</li> <li> Heart problems</li> <li> Trouble with breathing and swallowing</li> <li> Erectile dysfunction in men</li> </ul> <p>Autonomic nervous system disorders can occur alone or as the result of another disease, such as <a href='https://medlineplus.gov/parkinsonsdisease.html'>Parkinson's disease</a>, alcoholism and diabetes. Problems can affect either part of the system, as in <a href='https://medlineplus.gov/complexregionalpainsyndrome.html'>complex regional pain syndromes</a>, or all of the system. Some types are temporary, but many worsen over time. When they affect your breathing or heart function, these disorders can be life-threatening.</p> <p>Some autonomic nervous system disorders get better when an underlying disease is treated. Often, however, there is no cure. In that case, the goal of treatment is to improve symptoms. </p> <p >NIH: National Institute of Neurological Disorders and Stroke</p>	N	NULL	C1145628								
C1145628	A0028105	AT38149629	NULL	MSH	Diseases of the parasympathetic or sympathetic divisions of the AUTONOMIC NERVOUS SYSTEM; which has components located in the CENTRAL NERVOUS SYSTEM and PERIPHERAL NERVOUS SYSTEM. Autonomic dysfunction may be associated with HYPOTHALAMIC DISEASES; BRAIN STEM disorders; SPINAL CORD DISEASES; and PERIPHERAL NERVOUS SYSTEM DISEASES. Manifestations include impairments of vegetative functions including the maintenance of BLOOD PRESSURE; HEART RATE; pupil function; SWEATING; REPRODUCTIVE AND URINARY PHYSIOLOGY; and DIGESTION.	N	NULL	C1145628								
C1145628	A1177256	AT51223439	NULL	CSP	condition in which there is a deviation from or interruption of the normal structure or function of the parasympathetic or sympathetic divisions of the autonomic nervous system; autonomic dysfunction may be associated with hypothalamic diseases, brain stem disorders, spinal cord diseases, and peripheral nervous system diseases; manifestations include impairments of vegetative functions including the maintenance of blood pressure, heart rate, pupil function, sweating, reproductive and urinary physiology, and digestion.	N	NULL	C1145628								
C0694541	A7635468	AT198080176	NULL	NCI	Abnormal enlargement of the heart resulting from long-standing hypertension.	N	NULL	C0694541								
C0341934	A26672538	AT43116438	NULL	MSH	HYPERTENSION that develops as a result of PREGNANCY and regresses post partum. It is hypertension without PROTEINURIA or pathological EDEMA.	N	NULL	C0341934								
C0029342	A0318194	AT32350702	NULL	CSP	virus diseases caused by Orthomyxoviridae.	N	NULL	C0029342								
C0029342	A0360273	AT38134452	NULL	MSH	Virus diseases caused by the ORTHOMYXOVIRIDAE.	N	NULL	C0029342								
C0276357	A1196494	AT32350924	NULL	CSP	disease caused by strains of influenza A virus, causing influenza and pneumonia in domestic pigs.	N	NULL	C0276357								
C0029341	A10761863	AT197982614	NULL	NCI	A family of negative-strand single-strand RNA viruses which includes Influenza viruses.	N	NULL	C0029341								
C0029341	A0095509	AT43116952	NULL	MSH	A family of RNA viruses causing INFLUENZA and other diseases. There are five recognized genera: INFLUENZAVIRUS A; INFLUENZAVIRUS B; INFLUENZAVIRUS C; ISAVIRUS; and THOGOTOVIRUS.	N	NULL	C0029341								
C0029341	A0095508	AT51221812	NULL	CSP	RNA viruses; virus attaches to host cell receptors and enters by fusion of virus envelope with plasma membrane; wide host range, including man, pigs, horses and birds; transmission is by contact or by aerosol and waterborne.	N	NULL	C0029341								
C0029348	A10767693	AT197970127	NULL	NCI	A negative-strand linear single-strand RNA virus with an 8 segment genome. Virions are enveloped and usually spherical or pleomorphic, 50-120 nm in diameter. Influenza B viruses are usually found only in humans. Unlike influenza A viruses, these viruses are not classified according to subtype.	N	NULL	C0029348								
C0029348	A10767693	AT198032420	NULL	NCI_CDISC	Any viral organism that can be assigned to the species Influenza B virus.	N	NULL	C0029348								
C0029348	A2057487	AT56871685	NULL	MSH	Species of the genus INFLUENZAVIRUS B that cause HUMAN INFLUENZA and other diseases primarily in humans. Antigenic variation is less extensive than in type A viruses (INFLUENZA A VIRUS) and consequently there is no basis for distinct subtypes or variants. Epidemics are less likely than with INFLUENZA A VIRUS and there have been no pandemics. Previously only found in humans, Influenza B virus has been isolated from seals which may constitute the animal reservoir from which humans are exposed.	N	NULL	C0029348								
C1145669	A20248925	AT198074589	NULL	NCI_CDISC	Any viral organism that can be assigned to the species Influenza C virus.	N	NULL	C1145669								
C1145669	A20248925	AT198099221	NULL	NCI	A negative sense single-stranded RNA virus of the orthomyxovirus family that can cause a rare form of influenza. Its genome consists of 7 RNA segments that encode 9 proteins.	N	NULL	C1145669								
C0392171	A16764343	AT197985691	NULL	NCI_CTCAE	A disorder characterized by a group of symptoms similar to those observed in patients with the flu. It includes fever, chills, body aches, malaise, loss of appetite and dry cough.	N	NULL	C0392171								
C0392171	A16764343	AT219995844	NULL	NCI	Complaints describing a pattern similar to influenza, which may include one or more of the following symptoms: fever, chills, muscle or body aches, cough, sore throat, rhinitis, or fatigue.	N	NULL	C0392171								
C0392171	A16764343	AT220002060	NULL	NCI_NICHD	Complaints describing a pattern similar to influenza, which may include one or more of the following symptoms: fever, chills, muscle or body aches, cough, sore throat, rhinitis, or fatigue.	N	NULL	C0392171								
C0042769	A7629123	AT197967598	NULL	NCI	Any disease caused by a virus.	N	NULL	C0042769								
C0042769	A7629123	AT210371843	NULL	NCI_NICHD	Any disease caused by a virus.	N	NULL	C0042769								
C0042769	A0132717	AT218065019	NULL	MSH	A general term for diseases caused by viruses.	N	NULL	C0042769								
C0042769	A21142856	AT230153296	NULL	MEDLINEPLUS	<p>Viruses are very tiny germs. They are made of genetic material inside of a protein coating. Viruses cause familiar infectious diseases such as the <a href='https://medlineplus.gov/commoncold.html'>common cold</a>, <a href='https://medlineplus.gov/flu.html'>flu</a> and <a href='https://medlineplus.gov/warts.html'>warts</a>. They also cause severe illnesses such as <a href='https://medlineplus.gov/hivaids.html'>HIV/AIDS</a>, <a href='https://medlineplus.gov/smallpox.html'>smallpox</a>, and <a href='https://medlineplus.gov/ebola.html'>Ebola</a>.</p> <p>Viruses are like hijackers. They invade living, normal cells and use those cells to multiply and produce other viruses like themselves. This can kill, damage, or change the cells and make you sick. Different viruses attack certain cells in your body such as your liver, respiratory system, or blood.</p> <p>When you get a virus, you may not always get sick from it. Your immune system may be able to fight it off.</p> <p>For most viral infections, treatments can only help with symptoms while you wait for your immune system to fight off the virus. Antibiotics do not work for viral infections. There are antiviral medicines to treat some viral infections. <a href='https://medlineplus.gov/immunization.html'>Vaccines</a> can help prevent you from getting many viral diseases.</p>	N	NULL	C0042769								
C0042769	A0491595	AT32353566	NULL	CSP	disease produced by viruses.	N	NULL	C0042769								
C0017178	A24359525	AT197967343	NULL	NCI	A non-neoplastic or neoplastic disorder that affects the gastrointestinal tract, anus, liver, biliary system, and pancreas.	N	NULL	C0017178								
C0017178	A0062231	AT38152808	NULL	MSH	Diseases in any segment of the GASTROINTESTINAL TRACT from ESOPHAGUS to RECTUM.	N	NULL	C0017178								
C0017178	A0479779	AT51223005	NULL	CSP	disorder in any segment of the gastrointestinal tract from the mouth through the anus.	N	NULL	C0017178								
C0017178	A1187551	AT51225364	NULL	CSP	determination of disorder(s) in any segment of the gastrointestinal tract from the esophagus to the rectum based on symptoms, medical history, risk factors, and clinical tests.	N	NULL	C0017178								
C0009450	A7600811	AT198053717	NULL	NCI_NCI-GLOSS	Invasion and multiplication of germs in the body. Infections can occur in any part of the body and can spread throughout the body. The germs may be bacteria, viruses, yeast, or fungi. They can cause a fever and other problems, depending on where the infection occurs. When the body's natural defense system is strong, it can often fight the germs and prevent infection. Some cancer treatments can weaken the natural defense system.	N	NULL	C0009450								
C0009450	A7600811	AT205725087	NULL	NCI_CDISC	A disorder resulting from the presence and activity of a microbial, viral, or parasitic agent. It can be transmitted by direct or indirect contact. (NCI)	N	NULL	C0009450								
C0009450	A7600811	AT210373061	NULL	NCI	A disorder resulting from the presence and activity of a microbial, viral, fungal, or parasitic agent. It can be transmitted by direct or indirect contact.	N	NULL	C0009450								
C0009450	A7600811	AT210375634	NULL	NCI_NICHD	A disorder resulting from the presence and activity of a microbial, viral, fungal, or parasitic agent. It can be transmitted by direct or indirect contact.	N	NULL	C0009450								
C0009450	A0041284	AT218022158	NULL	MSH	An illness caused by an infectious agent or its toxins that occurs through the direct or indirect transmission of the infectious agent or its products from an infected individual or via an animal, vector or the inanimate environment to a susceptible animal or human host.	N	NULL	C0009450								
C0009450	A21143477	AT220104609	NULL	MEDLINEPLUS	<p>Infectious diseases kill more people worldwide than any other single cause. Infectious diseases are caused by germs. Germs are tiny living things that are found everywhere - in air, soil and water. You can get infected by touching, <a href='https://medlineplus.gov/foodborneillness.html'>eating</a>, drinking or breathing something that contains a germ. Germs can also spread through animal and insect bites, kissing and sexual contact. Vaccines, proper <a href='https://medlineplus.gov/germsandhygiene.html'>hand washing</a> and medicines can help prevent infections. </p> <p>There are four main kinds of germs: </p> <ul> <li> <a href='https://medlineplus.gov/bacterialinfections.html'>Bacteria</a> - one-celled germs that multiply quickly and may release chemicals which can make you sick</li> <li> <a href='https://medlineplus.gov/viralinfections.html'>Viruses</a> - capsules that contain genetic material, and use your own cells to multiply</li> <li> <a href='https://medlineplus.gov/fungalinfections.html'>Fungi</a> - primitive plants, like mushrooms or mildew </li> <li> <a href='https://medlineplus.gov/parasiticdiseases.html'>Protozoa</a> - one-celled animals that use other living things for food and a place to live</li> </ul> <p >NIH: National Institute of Allergy and Infectious Diseases</p>	N	NULL	C0009450								
C0009450	A0476543	AT51222702	NULL	CSP	broad class of diseases whose causative agents may be passed between individuals in many different ways.	N	NULL	C0009450								
C0009450	A0481760	AT51223943	NULL	CSP	invasion and growth of microorganisms in body tissues, which may be clinically inapparent or result in local cellular injury; a local infection may persist and spread by extension to become an acute, subacute, or chronic clinical infection or disease state or it may become systemic when the microorganisms gain access to the lymphatic or vascular system; does not always lead to injury of the host even if the pathogen is potentially virulent.	N	NULL	C0009450								
C0796514	A7596443	AT197966051	NULL	NCI	A protein produced by influenza viruses that can link the core material in the virus to the viral envelope. These proteins are involved in both the release of the viral genome into infected cells and the subsequent repackaging of the replicated genome into new virions.	N	NULL	C0796514								
C0021403	A8318199	AT144248582	NULL	HL7V3.0	<p>influenza virus vaccine, NOS</p>	N	NULL	C0021403								
C0021403	A6970480	AT226444398	NULL	MSH	Vaccines used to prevent infection by viruses in the family ORTHOMYXOVIRIDAE. It includes both killed and attenuated vaccines. The composition of the vaccines is changed each year in response to antigenic shifts and changes in prevalence of influenza virus strains. The flu vaccines may be mono- or multi-valent, which contains one or more INFLUENZAVIRUS A and INFLUENZAVIRUS B strains.	N	NULL	C0021403								
C0021403	A0481785	AT51219286	NULL	CSP	orthomyxovirus vaccine; the composition of the vaccine is changed each year in response to antigenic shifts and changes in prevalence of influenza virus strains; the vaccine is usually bivalent or trivalent, containing one or two influenza virus A strains and one influenza virus B strain.	N	NULL	C0021403								
C0006261	A0032846	AT218022068	NULL	MSH	Diseases involving the BRONCHI.	N	NULL	C0006261								
C0006261	A21143331	AT230152699	NULL	MEDLINEPLUS	<p>When you breathe in, the air travels down through your <a href='https://medlineplus.gov/trachealdisorders.html'>trachea</a> (windpipe). It then goes through two tubes to your lungs. These tubes are your bronchi. Bronchial disorders can make it hard for you to breathe.</p> <p>The most common problem with the bronchi is bronchitis, an inflammation of the tubes. It can be <a href='https://medlineplus.gov/acutebronchitis.html'>acute</a> or <a href='https://medlineplus.gov/chronicbronchitis.html'>chronic</a>. Other problems include</p> <ul> <li>Bronchiectasis - a condition in which damage to the airways causes them to widen and become flabby and scarred</li> <li>Exercise-induced bronchospasm - a breathing problem that happens when your airways shrink while you are exercising</li> <li>Bronchiolitis - an inflammation of the small airways that branch off from the bronchi</li> <li>Bronchopulmonary dysplasia - a chronic lung condition in infants, most often <a href='https://medlineplus.gov/prematurebabies.html'>premature infants</a></li> </ul>	N	NULL	C0006261								
C0006261	A0248526	AT51221236	NULL	CSP	condition in which there is a deviation from or interruption of the normal structure or function of the bronchi.	N	NULL	C0006261								
C0013990	A0053805	AT38150820	NULL	MSH	A pathological accumulation of air in tissues or organs.	N	NULL	C0013990								
C0600260	A0081252	AT100259050	NULL	MSH	Any disorder marked by obstruction of conducting airways of the lung. AIRWAY OBSTRUCTION may be acute, chronic, intermittent, or persistent.	N	NULL	C0600260								
C0600260	A24673776	AT206302088	NULL	HPO	Obstruction of conducting airways of the lung. [HPO:probinson]	N	NULL	C0600260								
C0008679	A0039239	AT38135496	NULL	MSH	Diseases which have one or more of the following characteristics: they are permanent, leave residual disability, are caused by nonreversible pathological alteration, require special training of the patient for rehabilitation, or may be expected to require a long period of supervision, observation, or care. (Dictionary of Health Services Management, 2d ed)	N	NULL	C0008679								
C0008679	A1883108	AT51220284	NULL	CSP	disease or disorder which has persisted over a long period of time; post coordinate with specific disease or disorder if appropriate.	N	NULL	C0008679								
C0008677	A7588818	AT197954629	NULL	NCI	A type of chronic obstructive pulmonary disease characterized by chronic inflammation in the bronchial tree that results in edema, mucus production, obstruction, and reduced airflow to and from the lung alveoli. The most common cause is tobacco smoking. Signs and symptoms include coughing with excessive mucus production, and shortness of breath.	N	NULL	C0008677								
C0008677	A24671247	AT206288977	NULL	HPO	Chronic inflammation of the bronchi. [HPO:probinson]	N	NULL	C0008677								
C0008677	A21144518	AT220106526	NULL	MEDLINEPLUS	<p>Bronchitis is an inflammation of the bronchial tubes, the airways that carry air to your lungs. It causes a cough that often brings up mucus. It can also cause shortness of breath, wheezing, a low fever, and chest tightness. There are two main types of bronchitis: <a href='https://medlineplus.gov/acutebronchitis.html'>acute</a> and chronic. </p> <p>Chronic bronchitis is one type of <a href='https://medlineplus.gov/copd.html'>COPD</a> (chronic obstructive pulmonary disease). The inflamed bronchial tubes produce a lot of mucus. This leads to coughing and difficulty breathing. Cigarette <a href='https://medlineplus.gov/smoking.html'>smoking</a> is the most common cause. Breathing in air pollution, fumes, or dust over a long period of time may also cause it.</p> <p>To diagnose chronic bronchitis, your doctor will look at your signs and symptoms and listen to your breathing. You may also have other tests.</p> <p>Chronic bronchitis is a long-term condition that keeps coming back or never goes away completely. If you smoke, it is important to quit. Treatment can help with your symptoms. It often includes medicines to open your airways and help clear away mucus. You may also need <a href='https://medlineplus.gov/oxygentherapy.html'>oxygen therapy</a>. <a href='https://medlineplus.gov/pulmonaryrehabilitation.html'>Pulmonary rehabilitation</a> may help you manage better in daily life.</p> <p >NIH: National Heart, Lung, and Blood Institute</p>	N	NULL	C0008677								
C0008677	A2028741	AT38146756	NULL	MSH	A subcategory of CHRONIC OBSTRUCTIVE PULMONARY DISEASE. The disease is characterized by hypersecretion of mucus accompanied by a chronic (more than 3 months in 2 consecutive years) productive cough. Infectious agents are a major cause of chronic bronchitis.	N	NULL	C0008677								
C0008677	A1180798	AT51222949	NULL	CSP	condition characterized by persistent coughing, increased secretion from the bronchial mucosa, obstruction of the respiratory passages, scanty or profuse expectoration, and necrosis and fibrosis of the respiratory tract.	N	NULL	C0008677								
C0024115	A0081249	AT100258626	NULL	MSH	Pathological processes involving any part of the LUNG.	N	NULL	C0024115								
C0024115	A7603630	AT198103373	NULL	NCI	A non-neoplastic or neoplastic disorder affecting the lung. Representative examples of non-neoplastic disorders include chronic obstructive pulmonary disease and pneumonia. Representative examples of neoplastic disorders include benign processes (e.g., respiratory papilloma) and malignant processes (e.g., lung carcinoma and metastatic cancer to the lung).	N	NULL	C0024115								
C0024115	A21145467	AT220105388	NULL	MEDLINEPLUS	<p>When you breathe, your lungs take in oxygen from the air and deliver it to the bloodstream. The cells in your body need oxygen to work and grow. During a normal day, you breathe nearly 25,000 times. People with lung disease have difficulty breathing. Millions of people in the U.S. have lung disease. If all types of lung disease are lumped together, it is the number three killer in the United States.</p> <p>The term lung disease refers to many disorders affecting the lungs, such as <a href='https://medlineplus.gov/asthma.html'>asthma</a>, <a href='https://medlineplus.gov/copd.html'>COPD</a>, infections like <a href='https://medlineplus.gov/flu.html'>influenza</a>, <a href='https://medlineplus.gov/pneumonia.html'>pneumonia</a> and <a href='https://medlineplus.gov/tuberculosis.html'>tuberculosis</a>, <a href='https://medlineplus.gov/lungcancer.html'>lung cancer</a>, and many other <a href='https://medlineplus.gov/breathingproblems.html'>breathing problems</a>. Some lung diseases can lead to <a href='https://medlineplus.gov/respiratoryfailure.html'>respiratory failure</a>.</p> <p >Dept. of Health and Human Services Office on Women's Health</p>	N	NULL	C0024115								
C0024115	A0483020	AT51224481	NULL	CSP	deviation from or interruption of the normal structure or function of the lung or lungs.	N	NULL	C0024115								
C0034067	A0107759	AT100258564	NULL	MSH	Enlargement of air spaces distal to the TERMINAL BRONCHIOLES where gas-exchange normally takes place. This is usually due to destruction of the alveolar wall. Pulmonary emphysema can be classified by the location and distribution of the lesions.	N	NULL	C0034067								
C0034067	A18593606	AT130672896	NULL	CHV	an abnormal increase in the size of the air spaces, resulting in breathing difficulty and an increased sensitivity to infection	N	NULL	C0034067								
C0034067	A18612300	AT130672897	NULL	CHV	an abnormal increase in the size of the air spaces, resulting in breathing difficulty and an increased sensitivity to infection	N	NULL	C0034067								
C0034067	A18630749	AT130672898	NULL	CHV	an abnormal increase in the size of the air spaces, resulting in breathing difficulty and an increased sensitivity to infection	N	NULL	C0034067								
C0034067	A10762107	AT198017384	NULL	NCI_NCI-GLOSS	Pulmonary emphysema is a disorder affecting the alveoli (tiny air sacs) of the lungs. The transfer of oxygen and carbon dioxide in the lungs takes place in the walls of the alveoli. In emphysema, the alveoli become abnormally inflated, damaging their walls and making it harder to breathe. People who smoke or have chronic bronchitis have an increased risk of emphysema.	N	NULL	C0034067								
C0034067	A10762107	AT198017385	NULL	NCI	A subcategory of chronic obstructive pulmonary disease (COPD). It occurs in people who smoke and suffer from chronic bronchitis. It is characterized by inflation of the alveoli, alveolar wall damage, and reduction in the number of alveoli, resulting in difficulty breathing.	N	NULL	C0034067								
C0034067	A10762107	AT198078862	NULL	NCI_FDA	A condition of the lung characterized by increase beyond normal in the size of air spaces distal to the terminal bronchioles, either from dilatation of the alveoli or from destruction of their walls.	N	NULL	C0034067								
C0034067	A10762107	AT210370258	NULL	NCI_CDISC	Abnormal enlargement of the air space distal to the terminal bronchiole accompanied by destructive changes in the alveolar septa.	N	NULL	C0034067								
C0034067	A21142990	AT220107313	NULL	MEDLINEPLUS	<p>Emphysema is a type of <a href='https://medlineplus.gov/copd.html'>COPD</a> involving damage to the air sacs (alveoli) in the lungs. As a result, your body does not get the oxygen it needs. Emphysema makes it hard to catch your breath. You may also have a chronic cough and have trouble breathing during exercise.</p> <p>The most common cause is cigarette smoking. If you smoke, <a href='https://medlineplus.gov/quittingsmoking.html'>quitting</a> can help prevent you from getting the disease. If you already have emphysema, not smoking might keep it from getting worse. Treatment is based on whether your symptoms are mild, moderate or severe. Treatments include inhalers, oxygen, medications and sometimes surgery to relieve symptoms and prevent complications.</p>	N	NULL	C0034067								
C0034067	A0478414	AT51222897	NULL	CSP	subcategory of chronic obstructive pulmonary disease; characterized by anatomic alterations of the lungs, such as the enlargement of airspaces and destruction of alveolar walls.	N	NULL	C0034067								
C0001883	A10759955	AT220004681	NULL	NCI	Blockage of air flow in the respiratory tract.	N	NULL	C0001883								
C0001883	A0021164	AT38147938	NULL	MSH	Any hindrance to the passage of air into and out of the lungs.	N	NULL	C0001883								
C0002390	A0022332	AT100258876	NULL	MSH	A common interstitial lung disease caused by hypersensitivity reactions of PULMONARY ALVEOLI after inhalation of and sensitization to environmental antigens of microbial, animal, or chemical sources. The disease is characterized by lymphocytic alveolitis and granulomatous pneumonitis.	N	NULL	C0002390								
C0002390	A7576578	AT197967594	NULL	NCI	An inflammatory interstitial lung disease caused by hypersensitivity reaction to inhalation or ingestion of antigens. The antigens are usually related to the patient's occupation. It can present as an acute illness with flu-like symptoms, subacute with repeated episodes of pneumonia, or chronic with dyspnea and productive cough. The majority of patients recover following the cessation of the exposure to the antigen that causes the disease. Chronic exposure may eventually progress to interstitial lung fibrosis.	N	NULL	C0002390								
C0002390	A0473149	AT51224407	NULL	CSP	conditions in which inhalation of organic dusts results in hypersensitivity reactions at the alveolar level, associated with the production of precipitins.	N	NULL	C0002390								
C3714497	A23915139	AT198039962	NULL	NCI	Coughing, wheezing, or shortness of breath that is triggered by allergens, infection, or other irritants.	N	NULL	C3714497								
C3714497	A23915139	AT210363948	NULL	NCI_NICHD	A term describing any condition in which the airways are hyperreactive to stimulation.	N	NULL	C3714497								
C0155626	A7593880	AT198066678	NULL	NCI	Necrosis of the myocardium, as a result of interruption of the blood supply to the area. It is characterized by a severe and rapid onset of symptoms that may include chest pain, often radiating to the left arm and left side of the neck, dyspnea, sweating, and palpitations.	N	NULL	C0155626								
C0027540	A16502391	AT197910277	NULL	GO	A type of cell death that is morphologically characterized by an increasingly translucent cytoplasm, swelling of organelles, minor ultrastructural modifications of the nucleus (specifically, dilatation of the nuclear membrane and condensation of chromatin into small, irregular, circumscribed patches) and increased cell volume (oncosis), culminating in the disruption of the plasma membrane and subsequent loss of intracellular contents. Necrotic cells do not fragment into discrete corpses as their apoptotic counterparts do. Moreover, their nuclei remain intact and can aggregate and accumulate in necrotic tissues. [GOC:mtg_apoptosis, PMID:18846107, PMID:20823910]	N	NULL	C0027540								
C0027540	A19029522	AT198028270	NULL	NCI_NCI-GLOSS	Refers to the death of tissues.	N	NULL	C0027540								
C0027540	A19029522	AT198114211	NULL	NCI	A cell death process that is morphologically characterized by a gain in cell volume (oncosis), swelling of organelles, plasma membrane rupture and subsequent loss of intracellular contents.	N	NULL	C0027540								
C0027540	A7581438	AT198127401	NULL	NCI	Relating to or affected by necrosis.	N	NULL	C0027540								
C0027540	A0090503	AT208169510	NULL	MSH	The pathological process occurring in cells that are dying from irreparable injuries. It is caused by the progressive, uncontrolled action of degradative ENZYMES, leading to MITOCHONDRIAL SWELLING, nuclear flocculation, and cell lysis. It is distinct it from APOPTOSIS, which is a normal, regulated cellular process.	N	NULL	C0027540								
C0027540	A19029522	AT210377907	NULL	NCI_CDISC	Death of a group of cells in an organ or tissue. (INHAND)	N	NULL	C0027540								
C0027540	A26977333	AT215235335	NULL	GO	OBSOLETE. A permanent cessation of all vital functions of a tissue. [GOC:dph, GOC:mtg_apoptosis]	N	NULL	C0027540								
C0027540	A0484529	AT51224440	NULL	CSP	sum of the morphological changes indicative of cell death and caused by the progressive degradation action of enzymes; may affect groups of cells or part of a structure or an organ.	N	NULL	C0027540								
C0027540	A26985878	AT67877607	NULL	GO	OBSOLETE. The processes that cause necrosis, the death of tissues, in another organism. [GOC:ma]	N	NULL	C0027540								
C3810814	A23882684	AT198113314	NULL	NCI	An electrocardiographic assessment of findings that suggest the occurrence of a myocardial infarction.	N	NULL	C3810814								
C3810814	A23882684	AT198125759	NULL	NCI_CDISC	An electrocardiographic assessment of findings suggestive of myocardial infarction.	N	NULL	C3810814								
C0428953	A21416154	AT198038510	NULL	NCI_CDISC	An electrocardiographic finding of pathologic Q waves, which is suggestive of myocardial infarction of one or more regions of the heart. No specification is provided for localization.	N	NULL	C0428953								
C0428953	A21416154	AT198099900	NULL	NCI	An electrocardiographic finding of pathologic Q waves, which is suggestive of myocardial infarction of one or more regions of the heart. No specification is provided for localization. (CDISC)	N	NULL	C0428953								
C0340305	A17009463	AT115062692	NULL	MSH	MYOCARDIAL INFARCTION in which the inferior wall of the heart is involved. It is often caused by occlusion of the right coronary artery.	N	NULL	C0340305								
C0178570	A1883132	AT51223891	NULL	CSP	obstruction or closure decreasing the capacity of the coronary vessels to supply sufficient blood flow; includes the presence of an aggregation of blood factors, primarily fibrin and platelets, (thrombus) in a coronary artery.	N	NULL	C0178570								
C0278960	A7649091	AT198077429	NULL	NCI	An event in a personal medical history indicating that a myocardial infartion has occurred during the previous 6 months.	N	NULL	C0278960								
C0010072	A0042929	AT73507010	NULL	MSH	Coagulation of blood in any of the CORONARY VESSELS. The presence of a blood clot (THROMBUS) often leads to MYOCARDIAL INFARCTION.	N	NULL	C0010072								
C0340293	A17001212	AT115062716	NULL	MSH	MYOCARDIAL INFARCTION in which the anterior wall of the heart is involved. Anterior wall myocardial infarction is often caused by occlusion of the left anterior descending coronary artery. It can be categorized as anteroseptal or anterolateral wall myocardial infarction.	N	NULL	C0340293								
C0027061	A15380924	AT103039151	NULL	FMA	Tissue which consists of cardiac myocytes surrounded by cardiac endomysium. Examples: Cardiac muscle tissue proper, conducting tissue of heart.	N	NULL	C0027061								
C0027061	A7572330	AT197965405	NULL	NCI_CDISC	The striated muscle tissue of the heart enveloped by the epicardium and the endocardium. (NCI)	N	NULL	C0027061								
C0027061	A7572330	AT198015335	NULL	NCI	The striated muscle tissue of the heart enveloped by the epicardium and the endocardium.	N	NULL	C0027061								
C0027061	A15383431	AT218910479	NULL	FMA	Muscle body which has as its parts the myocardium proper and the conducting system of the heart.	N	NULL	C0027061								
C0027061	A0089454	AT43116250	NULL	MSH	The muscle tissue of the HEART. It is composed of striated, involuntary muscle cells (MYOCYTES, CARDIAC) connected to form the contractile pump to generate blood flow.	N	NULL	C0027061								
C0027061	A0484372	AT51221020	NULL	CSP	muscle tissue of the heart composed of striated, involuntary muscle known as cardiac muscle.	N	NULL	C0027061								
C0151814	A12995203	AT73566510	NULL	MSH	Complete blockage of blood flow through one of the CORONARY ARTERIES, usually from CORONARY ATHEROSCLEROSIS.	N	NULL	C0151814								
C0018814	A7615249	AT220002880	NULL	NCI	Tearing of the heart muscle as a sequela of acute myocardial infarction.	N	NULL	C0018814								
C0018814	A0066437	AT73482694	NULL	MSH	Laceration or tearing of cardiac tissues appearing after MYOCARDIAL INFARCTION.	N	NULL	C0018814								
C0155668	A7611999	AT198078994	NULL	NCI	Documented history of previous myocardial infarction (MI), typically with objective evidence via positive biomarkers of myocardial necrosis.	N	NULL	C0155668								
C0018813	A7569340	AT219996698	NULL	NCI	Tearing of the heart muscle.	N	NULL	C0018813								
C0018813	A0066435	AT73530146	NULL	MSH	Disease-related laceration or tearing of tissues of the heart, including the free-wall MYOCARDIUM; HEART SEPTUM; PAPILLARY MUSCLES; CHORDAE TENDINEAE; and any of the HEART VALVES. Pathological rupture usually results from myocardial infarction (HEART RUPTURE, POST-INFARCTION).	N	NULL	C0018813								
C1457887	A7589770	AT198080147	NULL	NCI_CDISC	Subjective evidence of disease perceived by the patient.	N	NULL	C1457887								
